Rn,BCN,PMP,ZGZ,HSC
8.031256006119099,8.931022644042969,9.257217244899019,8.405185861790434,8.94333916522087
8.913446304645944,8.77944767728765,8.428971473206865,9.67075615740837,9.01296867208278
7.955627684897565,8.801918922586644,8.62702073442175,8.652086623171543,8.24195196273479
8.132538531688933,8.954568254186752,8.440144478006566,10.628039015100358,8.55811050090384
8.353908376490816,8.661483602320894,8.62887199888838,8.637438023344,8.32158669005049
8.717384094887592,9.521204197660406,9.627774989351312,8.695082887690118,9.050756819704747
8.52472147028497,9.239943159387467,8.65380412974256,8.38927971048558,8.344886373966299
8.090546506516477,8.308832127997215,10.06936970162899,8.680515532797955,8.252522732349153
8.407259393245615,9.571016839210023,9.429559423568401,8.21165636752514,9.09179038189827
8.294068965506046,8.594432911974318,9.688803084353184,8.652304547898312,8.439176194211269
8.206079077213369,8.21504803921314,8.408633292989528,8.443784754327003,8.9773200826442
8.051342700390105,8.818740601235248,8.349232531608418,8.154406446091672,8.049378658862825
8.148425122524829,8.310397452496467,8.276996693712599,8.34885731149227,8.458304547249003
8.259940614091589,9.204295949733003,9.663721936814328,8.904450599183427,8.556404438424618
8.45900198753844,8.844821767604097,8.38695826429002,9.1145085273905,8.57222471845911
8.452638829008063,8.965335845947266,9.960418863499418,9.554664611816406,9.670525571133227
8.075037814201192,9.60103136427859,8.819885659725108,8.672662045093293,8.507992521245429
8.46864205218376,8.847044193998297,8.225980149938705,8.585270009142286,9.339274386142163
8.245292257755361,8.630468814931017,8.60902242457613,9.138028976765085,8.944142848887342
7.937186748423475,9.458310796859417,9.295643339765833,9.354419789415724,8.514071768902717
8.04248724592493,9.061611094373339,9.204966362486495,8.775645398079082,8.976787729466215
8.13364280538356,9.162896988239694,8.697527296999668,9.579333366231715,8.699806132215135
8.0664765784081,8.772561986395653,8.79937038015812,9.858678533675823,8.389079804116108
8.51731860384028,9.13120691827003,9.021315879010139,8.598255400962017,9.465000558406748
8.060519319899539,8.741858299742354,8.468503099806766,8.513232129685422,8.448050803326545
