Rn,BCN,PMP,ZGZ,HSC
7.634746589660645,6.376288909912109,6.03772762298584,7.771866149902344,6.3759619140625
7.3251203918457035,5.936005172729492,5.825994491577148,6.2091646575927735,6.342533340454102
7.642132148742676,6.425348129272461,7.135335006713867,6.436640701293945,7.505606422424316
10.017069549560548,5.303470268249511,6.692838935852051,5.778949241638184,5.923218002319336
7.526558418273925,5.905623474121094,6.031383857727051,5.88134349822998,5.7591727828979495
7.6144905853271485,6.138012199401856,6.095298461914062,6.72303840637207,7.4564830017089845
7.463948707580567,6.217509307861328,5.5719568634033205,5.1053112030029295,7.053232002258301
7.781013717651367,7.261514320373535,5.826842346191406,6.599088821411133,7.172579307556152
8.233566665649414,5.44273609161377,6.6103487396240235,6.913335189819336,6.517566604614258
7.457447204589844,7.287875595092774,6.503559684753418,5.647949333190918,6.400135803222656
7.365788459777832,6.984950981140137,6.40533447265625,7.031970825195312,6.428466186523438
7.662135314941406,6.6134400558471675,5.541371383666992,6.8168315505981445,6.381308403015137
6.9268246841430665,6.656462249755859,7.490607566833496,7.0119046783447265,6.124355697631836
7.659941215515136,6.0692057800292964,6.483073692321778,6.540394287109375,7.0874489974975585
7.904061889648437,6.496013450622558,7.087529716491699,6.687944831848145,6.839044380187988
7.701684913635254,6.079669799804687,5.88082260131836,6.693549690246582,6.218432235717773
9.450319519042969,5.6202128219604495,6.1028789520263675,6.186533851623535,5.3892274093627925
6.53350902557373,6.203231430053711,6.539832801818847,6.210292739868164,5.593617897033692
7.7340107345581055,5.708571128845215,6.327079124450684,6.455731849670411,6.74344108581543
7.904002952575683,6.264457015991211,6.904300270080566,6.283222160339355,6.5718217468261715
7.609865913391113,5.154493026733398,7.113219947814941,6.818985290527344,6.6114241409301755
7.206285667419434,6.4616310501098635,5.886056632995605,5.724887428283691,6.3065561676025395
8.244847869873047,6.417467384338379,6.498428726196289,6.061352653503418,6.688242301940918
7.189037399291992,6.381855506896972,5.5759416198730465,6.221818542480468,6.380804023742676
7.118951454162597,6.519448356628418,6.190700492858887,7.333361663818359,5.9828462982177735
