Rn,BCN,PMP,ZGZ,HSC
3.894643047068379,4.498572170144261,4.304831514264097,4.723765193825901,4.0338825943446395
3.653440796502746,4.553658173816038,4.393754675836846,4.19483502076404,4.287449449595838
3.9196946172430964,4.350047951877707,4.237070782349841,4.126455325891476,4.2582855224609375
3.7795925706920057,4.128473036360033,4.09675152467029,4.326942103924138,4.281458259809135
3.9249635828603613,4.838475784452835,4.507930717845954,4.107972815485284,4.281348879974668
4.194459405275855,4.457661052741627,4.601851623837311,4.422249633486908,4.312520622026803
3.684923077573871,4.3754453753480815,4.266725559045772,4.567704984457186,4.61141314364896
4.308417405232345,4.38621184849503,4.209246758187171,4.602744036381788,4.187675324997099
4.312130805289391,4.4379668660683205,4.612445113682511,4.485884071576713,4.377041618422706
4.160896414577371,4.631054302253346,4.150819381864944,4.493836733374265,4.1099119280824565
4.033841954599513,4.634287050454923,4.146456576810024,4.370713639967512,4.609243449598256
3.8345425671870164,4.3611021136293315,4.55349089367555,4.147004269137241,4.112040415848836
3.848336965730875,4.379484006673983,4.263573523795251,4.5426440097317835,4.3174992551898015
4.073487763357635,4.419039093621887,4.40432863896436,4.971593271387686,4.544374786981262
3.7028076625106356,4.348880012436669,4.235530362270846,4.376697880206722,4.253210728711421
3.882261861668955,4.651327076524791,4.542193611069481,4.276563361139581,4.876399842819365
4.122644367784557,4.306974127741143,4.689849324745707,4.559680334412225,4.771323780022045
4.202464604141689,4.749216551827912,4.402301637252958,4.450220126916866,4.355725316718074
4.240354972310586,4.32424526403446,4.415062026222153,4.3875065794085515,4.168266485233118
4.369300124668839,4.339296208749904,4.159379033759089,4.261151795340057,4.257371354811262
4.518615307194172,3.9339765416513575,4.240727755102781,4.4292126268443495,4.093725789891611
3.912219396912225,4.334653797716197,4.44289224454672,4.306041113220819,4.143651603472115
4.368034249485129,4.251224215668027,4.334632571380918,4.207029172689608,4.4055410328477915
3.7343929781772123,4.4224672223081685,4.359151896863881,4.634478200780283,4.167588791044632
4.0644911208955365,4.443586708295463,4.459756152464612,4.577938079833984,4.476899817438409
