Rn,BCN,PMP,ZGZ,HSC
6.753550704644651,7.670278354566925,7.297032764979771,7.621639757740255,7.596058709280832
6.6181431205905215,7.605753995934311,7.728282500286491,7.824212210518973,7.4036171582280375
6.173194573850048,7.346905027117048,7.163671493530273,7.381254390794403,7.443329830558932
6.501765815579161,7.0702473776681085,8.113559294720085,7.730659251310388,7.129647546884965
7.231815493836695,7.543428304244061,7.763008234452228,7.578822388940928,7.830850912600147
6.897942406790597,8.143888745989118,7.656076509125379,7.446606149478835,8.201952564473055
6.350686248467893,7.2047178307358095,6.926282259882713,7.546736113879145,7.865013122558594
6.568679498166454,7.8521215867023075,7.449069548626335,7.851178811520946,6.99776587194326
6.400687315026108,7.719292309819435,7.63218151793188,7.274936987429249,7.779943738664899
6.976846344616948,8.000173062694316,7.265330411949936,7.137148098069794,7.28480525892608
6.494727738049566,7.230153842848175,7.5042460305350165,7.6628468571876995,7.442517377892319
5.863743762580716,7.795499957337672,7.441035017675283,7.42918061236946,7.138142332738759
6.749795874770807,8.135416653691506,7.475071459400411,7.5755055485939495,7.53875090151417
6.657088026708486,7.529783599230708,6.8210413018051455,7.689323736696827,7.106326200524155
6.695966292400749,7.188662665230887,7.915874053020866,8.313682361524933,7.477070205065669
6.764280007810009,7.759441492508869,7.591896446383729,7.748633910198601,7.55621489700006
6.975223229855907,7.861305120039959,7.658059840299646,7.097897432288345,7.283350419025032
6.557386982197664,7.5638647663350005,7.540749141148159,7.431105827798649,6.980945820711097
6.398751161536392,8.360864756058673,7.301110014623525,7.342455961266342,7.643568000014947
6.548909090003189,7.83283942086356,7.248365051892339,7.630123761235451,7.335715196570572
6.614594050816128,7.006572723388672,7.667945822890924,8.337902536197584,7.542155752376634
6.98730079495177,8.458499519192443,7.285187623938736,7.5413859231131415,7.764278723269093
6.7755989152558,7.146171686600666,7.3541401843635406,7.491798089475048,7.704348194355867
6.707265308925083,7.5590997034189655,7.996301806702906,7.395969157316247,7.534344381215621
6.6344388455760726,7.9489045824323386,7.304905132371552,7.439203962987783,7.571221176458865
