Rn,BCN,PMP,ZGZ,HSC
7.263378220375138,5.769486668133976,6.146223241632635,6.035689960826527,6.862319252707741
5.914247609148122,5.858945673162287,5.782891051937836,5.251244207825324,5.692544378415502
6.079490623088798,6.248057278719815,6.277752847382517,6.839828722404711,6.268756750858191
5.543954136395695,5.591377412429964,5.49423880528922,6.122843385946871,6.216941640834616
5.129480265607738,5.980374153214272,6.854937158449732,6.397334012118253,6.034798323506057
5.621411371712733,5.988064544369476,6.532792640454842,5.48154314599856,6.025237227931167
5.404475009802616,5.920766888242779,5.364422730725221,5.629277470135929,5.654780108519275
6.802962023802478,5.738340551202947,5.584720457443083,6.066271155771583,5.621447245279948
6.154993770098446,5.972078766485657,5.939285663643268,5.9869333902994795,6.615253063163372
5.021649909741951,5.807519931985874,7.3066234781284525,5.845687557952573,5.864120175140073
5.992336427322542,5.834316716049656,8.234479576650292,6.104573297982264,5.896317183369338
5.470946841769749,5.499816855998954,5.865218615291094,5.964256363685685,5.987690087520715
8.686711205376518,6.458680393719914,5.886763062139954,5.518555381081321,5.973009552618469
7.3091131268125595,5.399156088780875,5.731525459674874,6.0827232900291985,6.192178783994732
6.491412345809166,6.131553726966935,5.454301044194385,5.644254896375868,5.674076889500474
6.166844339081735,6.217387074171895,5.879805324053524,6.854693287550801,5.924785421352194
5.566159951566446,6.674332512749566,5.648774927312678,5.56612689085681,6.248510379983921
5.378551136363637,6.007066938612196,5.206398472641453,5.744480980767144,5.7252682001903805
5.941130975280145,5.6172594783282035,5.858170403374566,5.5334033773402975,6.406176942767519
5.693633069895735,6.297879036026772,6.258102879379734,5.688337114122179,6.4216318997469815
4.893817400691485,6.139528178205394,5.928186166166055,6.752186630711411,4.8654049189403805
6.857236341996626,5.867479343606968,5.7961666608097575,5.8697804537686435,5.540902262986308
6.4071582832721745,6.379509742813881,6.222717015430181,6.401178571912977,6.062009792135219
5.518300104622889,6.20743741892805,6.1110662980513135,5.5700616547555635,6.1776642847542815
5.799864836413451,6.1726180953208845,6.0134684630114625,6.284138881798946,5.992658865572226
