Rn,BCN,PMP,ZGZ,HSC
3.7490967909495034,4.898000160853068,4.803870876630147,5.518187681833903,4.660356442133586
3.935135801633199,5.53286349773407,4.863439480463664,4.387360572814941,4.55318820476532
4.099624395370483,5.644812266031901,5.723843336105347,4.580492814381917,5.515566468238831
3.9446632464726767,4.921801765759786,4.499903043111165,5.4329514900843305,4.819697419802348
4.098543286323547,4.794505715370178,4.858681797981262,5.093539555867513,4.719329476356506
4.097099184989929,4.634541114171346,4.525212685267131,3.929577628771464,5.16957147916158
4.959032615025838,4.163359642028809,4.10196320215861,4.1465797026952105,4.7789896329243975
4.254788517951965,4.427578568458557,5.484429399172465,4.647925059000651,4.414321064949036
4.417349179585774,4.621647079785665,4.622074882189433,4.706991036732991,4.868115981419881
3.963659405708313,4.611921588579814,4.842626611391704,5.259838898976644,4.747110684712728
3.747764070828756,4.482564091682434,5.194111347198486,4.120768308639526,4.968623121579488
4.101221084594727,4.549000064531962,4.440966526667277,4.990888595581055,4.695639729499817
4.114190459251404,4.819433291753133,4.5732366641362505,4.3003567059834795,4.695580283800761
4.350411454836528,4.484278162320455,4.656860629717509,4.414419412612915,4.727117816607158
4.0512925783793134,4.2953232526779175,4.393186767896016,4.965130090713501,5.081104238828023
4.329038778940837,4.474859317143758,4.709552884101868,4.659240206082662,4.33245313167572
4.0070193608601885,5.125451922416687,4.927796522776286,4.446655909220378,4.315590739250183
4.523640791575114,5.775393565495809,4.862605253855388,4.811709046363831,4.923653960227966
3.584690570831299,5.219390948613484,4.890125155448914,4.751657883326213,4.607247551282247
3.8198084831237793,4.822721878687541,4.829675118128459,4.858033299446106,4.9411312739054365
4.471408883730571,4.637261470158895,5.25032099088033,5.241779327392578,4.690238833427429
3.829350749651591,5.312360922495524,4.588352878888448,7.015673955281575,4.280343572298686
4.571760773658752,4.452442487080892,5.215224424997966,5.223951657613118,4.590883294741313
5.013952573140462,4.763244231541951,4.804404457410176,5.304585417111714,4.504361589749654
3.579583923021952,5.292954484621684,4.619945168495178,4.180247227350871,4.758095860481262
