Rn,BCN,PMP,ZGZ,HSC
6.881402463329081,6.283204682019292,6.0296772937385406,7.063617667373346,5.600130898611886
6.271593716679787,6.438431642493423,6.271917265288684,6.101761175661671,5.77471246524733
6.479183819829201,5.779363398649255,6.517738108732263,5.76106071472168,5.535323162468112
6.431657635435766,6.495734623500279,6.661877145572585,5.832322101203763,6.202311885600188
6.232179174617845,6.644432807455257,6.208642920669244,6.182973783843371,7.158175410056601
7.237318155716877,6.2192609358807,6.647139996898417,6.518686294555664,7.331363677978516
7.277981621878488,5.243125370570591,7.492361185502033,6.1717983167998645,6.590225570055903
7.160097005415936,5.599601667754504,8.080509691822286,6.476860202088648,5.748267465708207
7.265567039956852,7.560076032366071,6.221922893913424,6.578541502660634,5.434772452529596
6.71572039078693,6.896993169979173,6.290954122737962,6.021638753462811,6.1051037457524515
6.37567679736079,7.972163842648876,5.901700701032366,5.517781744197923,5.8870426489382375
6.5697973212417295,6.117159512578224,6.024742710347078,5.87071909223284,6.234371574557557
5.939458418865593,7.067401302104094,6.425301065250319,5.561420168195452,5.674702663810885
7.530992702561981,6.097839472245197,6.476118087768555,6.311669602686045,6.275316705509108
6.519559003868881,5.1499877851836535,6.5547365461077005,5.540439177532585,5.750716890607562
7.753942178220165,6.271762770049426,6.014704918374821,5.654700843655333,6.321643245463469
6.697386371846101,7.682640464938417,6.031363312078982,6.682688070803272,9.521163706876793
7.834625555544483,5.651822849195831,6.571249319582569,6.2539695428342235,6.500142078010404
7.935419199418049,5.814916182537468,6.334064795046436,5.87004634312221,5.118233778038803
7.044395913883132,5.882237609551877,6.357307083752691,6.936185136133311,6.061628030270946
6.784683928197744,5.995574756544464,6.65187119464485,5.996603595967195,6.253601268846161
6.441568452484754,6.207997730800083,5.323228096475407,5.910443870388732,6.741152704978476
6.687748928459323,5.581354608341139,5.9131998723866985,6.4532027341881575,5.995667477043307
6.460375416035554,6.154916335125359,5.764494487217495,6.06337664078693,6.601686750139509
6.217036149939712,5.319735235097457,6.398729635744679,5.996538045454998,6.281946727207729
