fecha,tmed,velmedia,presmed
2013-07-07,27.4,2.8,956.75
2013-07-14,25.814285714285717,3.604285714285715,953.6428571428571
2013-07-21,25.285714285714285,2.9857142857142853,954.7714285714286
2013-07-28,26.599999999999998,3.585714285714286,950.9642857142857
2013-08-04,26.0,4.0564285714285715,954.9857142857143
2013-08-11,23.585714285714285,4.442857142857142,953.6714285714286
2013-08-18,24.87142857142857,3.242857142857143,954.3142857142857
2013-08-25,23.3,4.057142857142858,953.3857142857142
2013-09-01,21.099999999999998,3.6000000000000005,954.1714285714286
2013-09-08,21.400000000000002,3.185714285714286,955.1214285714285
2013-09-15,18.685714285714283,4.314285714285714,955.8857142857142
2013-09-22,20.25714285714286,5.209852216748769,953.4285714285714
2013-09-29,22.142857142857146,3.0714285714285716,950.05
2013-10-06,20.428571428571427,3.8857142857142852,951.1214285714285
2013-10-13,14.657142857142857,3.5285714285714285,954.65
2013-10-20,19.0,3.806666666666667,954.1071428571428
2013-10-27,18.585714285714285,3.457142857142857,952.6928571428571
2013-11-03,14.328571428571427,3.5,955.0214285714285
2013-11-10,14.114285714285714,7.485714285714286,952.65
2013-11-17,11.642857142857144,5.5857142857142845,953.2066326530613
2013-11-24,6.8,7.471428571428572,944.3785714285714
2013-12-01,4.914285714285714,3.8999999999999995,957.0642857142857
2013-12-08,5.771428571428571,2.2714285714285714,960.6000000000001
2013-12-15,3.242857142857143,1.8714285714285714,965.4785714285715
2013-12-22,7.1,2.9714285714285715,961.1000000000001
2013-12-29,6.571428571428572,5.728571428571429,948.0285714285716
2014-01-05,7.257142857142855,3.5,951.6142857142858
2014-01-12,9.171428571428573,2.0285714285714285,955.6928571428571
2014-01-19,6.328571428571428,3.4714285714285715,943.8285714285713
2014-01-26,8.671428571428573,9.342857142857143,951.0714285714286
2014-02-02,5.485714285714286,6.571428571428571,942.3142857142857
2014-02-09,6.371428571428572,4.5285714285714285,945.9411428571428
2014-02-16,7.928571428571429,4.357142857142858,947.3928571428571
2014-02-23,8.385714285714286,5.057142857142857,951.6777142857144
2014-03-02,6.871428571428571,5.374603174603174,950.2
2014-03-09,10.671428571428573,6.314285714285715,952.2285714285715
2014-03-16,12.614285714285714,3.685714285714286,959.1357142857142
2014-03-23,12.428571428571429,4.171428571428572,953.9285714285714
2014-03-30,8.757142857142858,6.728571428571428,947.1857142857143
2014-04-06,13.557142857142859,5.742857142857142,946.7714285714286
2014-04-13,17.342857142857145,3.2428571428571433,954.4357142857143
2014-04-20,17.42857142857143,3.8714285714285714,948.5785714285715
2014-04-27,13.6,6.471428571428572,949.6214285714286
2014-05-04,14.642857142857144,8.142857142857142,950.9642857142857
2014-05-11,19.25714285714286,3.6857142857142864,953.6285714285714
2014-05-18,15.842857142857143,4.328571428571429,954.1714285714286
2014-05-25,15.42857142857143,4.6000000000000005,947.9785714285715
2014-06-01,15.414285714285715,4.614285714285714,953.35
2014-06-08,20.900000000000002,4.642857142857143,951.05
2014-06-15,24.7,4.114285714285715,954.1714285714287
2014-06-22,23.228571428571428,3.5142857142857147,952.1071428571429
2014-06-29,20.842857142857145,4.714285714285714,951.55
2014-07-06,21.528571428571432,3.8000000000000003,951.9785714285714
2014-07-13,20.099999999999998,7.371428571428571,952.8357142857142
2014-07-20,25.657142857142855,5.6000000000000005,952.6714285714286
2014-07-27,25.0,4.0,951.142857142857
2014-08-03,22.857142857142858,4.885714285714285,949.5428571428571
2014-08-10,25.8,3.8428571428571425,951.4714285714288
2014-08-17,21.771428571428572,5.171428571428571,953.4285714285714
2014-08-24,21.571428571428573,3.4571428571428577,951.9714285714288
2014-08-31,25.685714285714283,3.528571428571428,952.5785714285714
2014-09-07,25.3,2.8,949.8928571428571
2014-09-14,24.25714285714286,2.9522167487684734,951.1785714285714
2014-09-21,22.428571428571423,3.1571428571428575,949.6642857142855
2014-09-28,17.25714285714286,2.742857142857143,955.2571428571429
2014-10-05,19.471428571428568,2.4857142857142853,957.5642857142857
2014-10-12,19.2,3.085714285714286,948.8071428571429
2014-10-19,18.885714285714283,2.9428571428571426,951.5142857142858
2014-10-26,20.085714285714285,4.714285714285714,956.8785714285715
2014-11-02,16.371428571428574,2.357142857142857,956.7571428571429
2014-11-09,11.157142857142857,4.4142857142857155,944.5571428571428
2014-11-16,9.971428571428572,3.7857142857142856,944.9714285714286
2014-11-23,12.142857142857142,3.8000000000000003,951.7928571428571
2014-11-30,12.271428571428572,3.6428571428571432,942.3285714285714
2014-12-07,7.2714285714285705,5.314285714285714,947.6214285714286
2014-12-14,8.185714285714285,5.114285714285714,956.2785714285714
2014-12-21,8.414285714285713,4.871428571428572,959.0785714285715
2014-12-28,2.9,3.8000000000000003,960.1857142857142
2015-01-04,5.1000000000000005,3.185714285714286,965.2
2015-01-11,4.785714285714286,3.085714285714286,966.4714285714286
2015-01-18,6.457142857142857,4.085714285714286,955.6142857142858
2015-01-25,5.142857142857143,5.928571428571428,949.1357142857142
2015-02-01,5.8999999999999995,8.499999999999998,944.8999999999999
2015-02-08,2.485714285714286,5.142857142857143,942.9142857142857
2015-02-15,7.128571428571428,3.4,954.1142857142856
2015-02-22,7.799999999999999,5.228571428571429,954.7071428571428
2015-03-01,9.257142857142856,10.085714285714285,952.6857142857143
2015-03-08,11.414285714285715,4.771428571428571,960.6071428571429
2015-03-15,11.557142857142859,3.9857142857142853,956.2214285714286
2015-03-22,10.171428571428573,2.4714285714285715,951.4428571428572
2015-03-29,10.714285714285714,8.321904761904761,949.7285714285715
2015-04-05,13.8,6.671428571428571,955.2428571428571
