,tmed,dir,velmedia,presMax,presMin,fecha
5681,12.2,99.0,6.7,953.1,944.1,2016-11-21
5685,7.7,32.0,1.7,955.4,952.6,2016-11-22
5690,4.4,31.0,3.6,955.5,949.8,2016-11-23
5695,5.4,21.0,2.2,958.8,951.0,2016-11-24
5699,3.8,11.0,0.3,960.4,957.9,2016-11-25
5700,5.2,13.0,2.8,959.9,957.0,2016-11-26
5707,9.2,13.0,0.8,960.2,957.5,2016-11-27
5711,6.2,33.0,3.9,963.9,959.3,2016-11-28
5714,8.9,17.0,0.8,974.0,963.9,2016-11-29
5717,9.2,13.0,4.2,977.8,973.9,2016-11-30
5720,7.2,99.0,0.8,976.3,970.3,2016-12-01
5725,2.6,23.0,0.3,970.3,963.2,2016-12-02
5730,4.2,5.0,0.8,963.3,960.0,2016-12-03
5733,8.1,12.0,2.2,965.0,960.7,2016-12-04
5736,9.4,29.0,1.4,972.3,965.0,2016-12-05
5742,6.9,29.0,0.3,975.7,972.3,2016-12-06
5747,5.8,18.0,0.6,979.9,975.2,2016-12-07
5749,5.6,29.0,0.6,981.7,979.4,2016-12-08
5752,4.8,99.0,1.1,980.8,977.7,2016-12-09
5758,4.5,4.0,0.3,977.7,974.8,2016-12-10
5761,8.1,34.0,2.5,975.1,970.7,2016-12-11
5766,8.8,34.0,5.3,971.4,968.9,2016-12-12
5770,4.4,99.0,0.8,972.7,969.3,2016-12-13
5775,5.2,29.0,1.1,970.1,966.9,2016-12-14
5777,5.0,99.0,2.5,970.7,965.0,2016-12-15
5782,6.4,99.0,1.1,975.8,964.4,2016-12-16
5787,5.4,99.0,0.3,981.9,975.7,2016-12-17
5791,2.0,99.0,0.0,980.7,972.2,2016-12-18
5793,4.4,36.0,4.4,972.2,963.8,2016-12-19
5799,5.8,99.0,4.2,971.9,963.8,2016-12-20
5800,5.8,99.0,2.5,977.3,971.6,2016-12-21
5804,6.0,99.0,0.3,982.3,976.9,2016-12-22
5810,10.4,99.0,1.1,983.5,981.4,2016-12-23
5815,10.0,36.0,2.5,984.3,982.8,2016-12-24
5819,7.8,99.0,2.8,983.6,978.0,2016-12-25
5823,5.1,35.0,4.2,980.6,978.0,2016-12-26
5824,4.9,16.0,0.8,982.3,979.0,2016-12-27
5831,1.3,16.0,0.0,984.6,982.3,2016-12-28
5833,1.9,99.0,0.3,982.3,978.7,2016-12-29
5839,0.5,18.0,1.1,983.2,980.0,2016-12-30
5842,0.6,99.0,0.3,981.1,976.9,2016-12-31
5847,0.6,99.0,1.4,976.9,968.9,2017-01-01
5851,0.2,15.0,1.4,971.0,968.5,2017-01-02
5852,2.4,30.0,0.0,972.8,969.7,2017-01-03
5859,3.0,34.0,3.3,973.6,971.5,2017-01-04
5861,1.7,35.0,5.3,976.1,973.1,2017-01-05
5865,2.9,99.0,4.2,976.3,974.3,2017-01-06
5870,3.8,34.0,3.9,977.1,974.9,2017-01-07
5874,3.8,34.0,4.7,977.2,975.5,2017-01-08
5879,6.7,35.0,5.0,976.1,968.8,2017-01-09
5882,6.4,32.0,3.3,969.4,963.6,2017-01-10
5884,9.4,99.0,4.7,972.9,966.6,2017-01-11
5889,9.3,99.0,0.6,972.7,964.8,2017-01-12
5893,3.8,33.0,5.6,971.2,966.1,2017-01-13
5898,2.3,36.0,3.6,973.8,970.6,2017-01-14
5900,3.4,34.0,2.8,975.1,971.1,2017-01-15
5904,7.4,35.0,7.5,971.3,967.3,2017-01-16
5910,1.1,36.0,7.5,971.6,967.2,2017-01-17
5915,-3.3,1.0,3.363333333333333,971.0,969.0,2017-01-18
5919,0.2,99.0,1.1,970.9,969.0,2017-01-19
5920,-1.2,99.0,0.0,970.6,967.5,2017-01-20
5925,2.1,35.0,1.4,968.9,964.9,2017-01-21
5928,2.6,99.0,6.7,967.5,964.3,2017-01-22
5933,4.8,35.0,6.4,970.2,966.8,2017-01-23
5937,5.0,99.0,4.7,972.1,969.4,2017-01-24
5943,0.6,35.0,3.9,970.6,965.0,2017-01-25
5944,0.0,99.0,1.7,965.0,959.0,2017-01-26
5951,7.2,13.0,6.1,961.2,954.7,2017-01-27
5954,6.4,99.0,1.1,970.8,961.2,2017-01-28
5959,4.9,99.0,0.8,971.0,967.5,2017-01-29
5960,10.2,13.0,0.8,969.1,964.2,2017-01-30
5967,11.0,13.0,1.4,964.2,961.9,2017-01-31
5970,10.8,19.0,3.9,963.8,959.8,2017-02-01
5973,9.2,26.0,6.7,961.4,953.2,2017-02-02
5979,8.9,16.0,6.4,961.0,952.2,2017-02-03
5981,11.6,26.0,4.7,960.2,951.1,2017-02-04
5986,7.0,99.0,5.6,969.9,952.1,2017-02-05
5990,7.0,31.0,1.4,971.2,968.5,2017-02-06
5993,6.8,32.0,1.9,970.4,967.5,2017-02-07
5998,4.5,35.0,4.7,974.0,964.1,2017-02-08
6003,5.2,31.0,0.8,972.2,960.4,2017-02-09
6004,6.1,16.0,1.9,962.9,959.0,2017-02-10
6010,3.9,20.0,0.3,963.8,956.6,2017-02-11
6013,8.9,13.0,9.7,956.6,951.1,2017-02-12
6016,8.5,17.0,7.5,963.2,951.1,2017-02-13
6023,7.6,20.0,1.4,974.5,963.2,2017-02-14
6027,9.4,20.0,1.1,979.3,974.5,2017-02-15
6031,8.8,99.0,0.8,979.4,976.1,2017-02-16
6035,8.2,99.0,0.3,977.1,971.2,2017-02-17
6038,8.0,33.0,1.9,971.7,965.6,2017-02-18
6043,8.0,35.0,4.2,974.7,969.5,2017-02-19
6045,9.5,99.0,5.6,974.4,972.1,2017-02-20
6049,8.7,34.0,1.9,973.7,969.7,2017-02-21
6052,8.6,35.0,0.3,971.3,966.1,2017-02-22
6059,8.4,35.0,1.4,966.6,961.0,2017-02-23
6063,6.7,2.0,7.5,969.1,962.3,2017-02-24
6067,10.2,99.0,2.2,968.6,963.5,2017-02-25
6068,8.4,21.0,0.6,969.1,963.6,2017-02-26
6072,8.5,27.0,3.425925925925926,963.8,957.1,2017-02-27
6079,7.9,25.0,7.8,965.0,955.5,2017-02-28
6083,7.8,21.0,2.8,966.8,964.0,2017-03-01
6087,10.2,99.0,1.9,967.2,960.1,2017-03-02
6088,10.8,19.0,8.1,960.2,945.2,2017-03-03
6093,6.3,33.0,3.6,958.9,947.4,2017-03-04
6099,6.6,99.0,0.8,966.1,957.9,2017-03-05
6103,12.8,99.0,3.9,973.7,963.8,2017-03-06
6107,9.1,32.0,1.4,974.0,971.4,2017-03-07
6108,13.2,34.0,1.7,975.3,973.0,2017-03-08
6114,13.0,99.0,0.3,974.9,970.6,2017-03-09
6119,14.6,3.0,0.6,972.3,966.2,2017-03-10
6123,13.5,99.0,2.5,967.2,962.4,2017-03-11
6127,10.0,99.0,5.3,967.6,965.2,2017-03-12
6129,9.2,34.0,6.4,977.3,967.4,2017-03-13
6133,12.1,32.0,6.4,978.7,975.4,2017-03-14
6136,11.8,99.0,0.8,976.8,970.6,2017-03-15
6143,12.2,21.0,2.8,972.1,967.2,2017-03-16
6147,12.2,34.0,1.7,971.7,967.7,2017-03-17
6151,11.2,35.0,5.0,971.4,968.5,2017-03-18
6155,11.7,99.0,5.0,968.8,963.8,2017-03-19
6157,14.2,99.0,3.6,965.1,961.0,2017-03-20
6161,8.8,32.0,3.9,964.7,962.8,2017-03-21
6166,7.9,16.0,3.9,963.5,953.2,2017-03-22
6168,5.4,99.0,3.1,959.9,955.4,2017-03-23
6175,7.2,5.0,2.2,963.4,959.8,2017-03-24
6176,4.8,13.0,1.7,962.7,956.4,2017-03-25
6180,10.8,12.0,5.3,963.9,960.9,2017-03-26
6184,10.2,16.0,6.9,970.4,961.3,2017-03-27
6188,12.0,99.0,1.9,974.6,970.4,2017-03-28
6194,12.2,20.0,0.8,974.6,970.4,2017-03-29
6198,13.7,17.0,3.6,972.1,966.3,2017-03-30
6203,13.7,29.0,0.8,967.6,962.4,2017-03-31
6204,9.8,99.0,3.1,968.8,964.9,2017-04-01
6209,8.5,35.0,5.3,972.0,967.3,2017-04-02
6214,11.1,2.0,3.1,971.7,968.8,2017-04-03
6218,11.5,35.0,6.7,973.5,971.0,2017-04-04
6220,10.6,36.0,6.1,971.9,970.3,2017-04-05
6226,11.6,99.0,5.6,971.3,967.8,2017-04-06
6230,11.8,32.0,0.3,968.9,965.3,2017-04-07
6232,13.6,22.0,1.4,968.6,965.5,2017-04-08
6238,14.4,99.0,0.8,971.8,968.4,2017-04-09
6242,15.4,99.0,2.5,972.6,969.1,2017-04-10
6244,13.3,99.0,6.4,972.1,969.3,2017-04-11
6248,13.8,99.0,2.2,969.3,964.7,2017-04-12
6255,15.0,35.0,2.5,966.9,963.1,2017-04-13
6258,11.9,35.0,5.0,968.7,965.1,2017-04-14
6263,12.3,2.0,5.3,972.6,967.9,2017-04-15
6267,12.6,34.0,5.6,972.5,968.2,2017-04-16
6271,12.9,31.0,4.7,968.5,964.4,2017-04-17
6273,13.1,99.0,7.8,968.2,965.6,2017-04-18
6277,10.1,99.0,7.5,970.5,967.4,2017-04-19
6283,9.9,32.0,2.5,972.8,969.2,2017-04-20
6284,10.5,20.0,2.5,974.4,971.0,2017-04-21
6289,12.6,57.241379310344826,0.8,973.0,965.9,2017-04-22
6295,14.4,35.0,2.2,967.4,962.6,2017-04-23
6298,16.0,99.0,1.9,964.2,958.6,2017-04-24
6302,14.7,35.0,2.2,958.6,953.8,2017-04-25
6306,8.0,99.0,7.2,963.0,956.4,2017-04-26
6309,7.2,35.0,6.1,967.8,961.4,2017-04-27
6315,7.3,99.0,3.9,967.4,962.3,2017-04-28
6317,7.5,16.0,3.9,962.8,956.1,2017-04-29
6321,8.7,99.0,6.7,963.1,952.2,2017-04-30
6325,7.6,26.0,0.8,968.2,963.1,2017-05-01
6328,12.8,99.0,3.6,968.0,966.5,2017-05-02
6334,15.0,22.0,1.1,966.5,960.5,2017-05-03
6338,15.6,99.0,0.8,961.5,956.8,2017-05-04
6341,18.4,19.0,4.2,959.8,952.4,2017-05-05
6345,14.6,99.0,2.8,969.1,958.7,2017-05-06
6349,13.2,36.0,3.6,970.0,967.9,2017-05-07
6355,13.0,33.0,3.6,969.1,963.2,2017-05-08
6357,14.3,20.0,0.3,963.2,952.2,2017-05-09
6362,17.8,12.0,1.7,953.5,946.0,2017-05-10
6365,15.6,25.0,6.7,950.8,944.1,2017-05-11
6368,15.1,18.0,3.1,959.3,950.6,2017-05-12
6373,15.8,25.0,2.5,967.4,959.3,2017-05-13
6376,16.8,99.0,1.7,973.6,967.4,2017-05-14
6383,18.0,99.0,1.4,975.7,972.3,2017-05-15
6387,21.2,19.0,0.8,973.7,969.2,2017-05-16
6390,19.0,99.0,3.9,969.9,962.8,2017-05-17
6394,10.7,99.0,5.0,967.7,961.6,2017-05-18
6398,11.4,35.0,4.7,970.8,967.0,2017-05-19
6403,12.6,3.0,2.2,972.4,970.0,2017-05-20
6407,16.4,13.0,2.2,970.6,962.1,2017-05-21
6410,19.6,34.0,4.4,968.7,962.0,2017-05-22
6412,17.3,99.0,5.6,970.2,967.7,2017-05-23
6416,20.3,99.0,2.2,969.4,964.3,2017-05-24
6420,22.5,21.0,1.4,965.1,959.5,2017-05-25
6424,23.8,32.0,2.2,964.7,957.9,2017-05-26
6431,23.1,17.0,3.3,964.5,961.4,2017-05-27
6434,23.8,15.0,3.6,965.6,961.8,2017-05-28
6439,18.3,99.0,1.4,965.2,961.9,2017-05-29
6441,18.9,34.0,6.1,967.6,964.2,2017-05-30
6445,19.7,20.0,2.2,968.1,964.6,2017-05-31
6451,20.8,99.0,1.1,968.0,963.8,2017-06-01
6453,21.4,25.0,3.1,967.0,964.0,2017-06-02
6457,16.8,99.0,5.8,969.2,964.2,2017-06-03
6461,12.4,8.0,2.8,968.9,964.8,2017-06-04
6464,16.8,32.0,3.3,966.6,959.8,2017-06-05
6468,13.0,34.0,6.4,969.9,959.9,2017-06-06
6475,16.8,36.0,2.2,970.6,966.0,2017-06-07
6479,21.2,32.0,4.2,966.5,959.2,2017-06-08
6480,21.5,99.0,2.5,966.3,962.6,2017-06-09
6487,23.2,34.0,1.9,966.9,964.0,2017-06-10
6490,26.0,34.0,3.1,968.6,963.7,2017-06-11
6492,24.0,33.0,4.2,968.5,963.4,2017-06-12
6496,25.2,33.0,3.9,964.1,960.4,2017-06-13
6501,26.0,99.0,2.5,964.7,960.1,2017-06-14
6504,21.8,99.0,6.9,971.3,964.5,2017-06-15
6511,22.0,99.0,8.1,971.4,969.0,2017-06-16
6515,23.4,33.0,6.9,970.0,964.1,2017-06-17
6517,25.7,2.0,1.9,964.9,960.6,2017-06-18
6520,27.0,30.0,3.3,968.8,962.4,2017-06-19
6525,26.0,16.0,1.4,967.2,963.5,2017-06-20
6530,27.0,13.0,2.8,965.7,962.2,2017-06-21
6533,28.1,33.0,2.5,969.3,963.6,2017-06-22
6536,23.6,99.0,6.1,971.3,967.9,2017-06-23
6542,21.2,33.0,6.1,970.7,967.1,2017-06-24
6546,23.6,99.0,2.8,968.7,960.9,2017-06-25
6550,22.0,11.0,3.3,961.7,957.4,2017-06-26
6554,22.4,26.0,2.8,959.8,954.4,2017-06-27
6558,19.0,99.0,5.3,958.4,952.2,2017-06-28
6561,14.8,36.0,1.7,961.6,957.9,2017-06-29
6564,12.8,30.0,2.8,969.2,960.5,2017-06-30
6568,14.0,99.0,5.3,975.0,969.0,2017-07-01
6574,15.8,99.0,6.4,974.9,972.6,2017-07-02
6578,20.2,32.0,5.3,972.9,968.4,2017-07-03
6583,23.0,16.0,2.8,968.5,961.2,2017-07-04
6586,25.9,12.0,3.3,964.6,959.9,2017-07-05
6588,26.4,18.0,2.8,967.4,963.2,2017-07-06
6594,24.8,24.0,3.1,967.5,963.9,2017-07-07
6596,23.0,4.0,7.8,967.7,961.1,2017-07-08
6600,22.0,33.0,3.6,966.0,960.2,2017-07-09
6607,19.2,99.0,4.7,965.7,962.8,2017-07-10
6608,22.9,33.0,3.3,966.2,962.4,2017-07-11
6613,21.0,32.0,4.4,970.0,965.7,2017-07-12
6616,21.4,99.0,6.7,970.1,967.8,2017-07-13
6620,19.8,99.0,7.8,970.2,968.1,2017-07-14
6625,21.4,32.0,6.7,969.7,967.5,2017-07-15
6631,24.0,32.0,2.5,969.5,965.1,2017-07-16
6633,28.0,29.0,4.4,967.0,960.5,2017-07-17
6639,27.4,3.0,2.8,963.2,956.5,2017-07-18
6642,26.3,36.0,5.0,963.8,958.2,2017-07-19
6647,20.0,34.0,7.5,964.7,962.5,2017-07-20
6650,21.7,99.0,3.3,963.2,959.1,2017-07-21
6653,22.2,35.0,3.3,968.5,961.9,2017-07-22
6659,20.0,2.0,4.7,969.3,966.5,2017-07-23
6662,19.8,32.0,5.6,970.8,967.6,2017-07-24
6665,17.8,99.0,5.8,969.9,966.5,2017-07-25
6668,20.3,99.0,5.0,966.7,963.9,2017-07-26
6672,22.5,35.0,4.7,965.4,962.1,2017-07-27
6676,24.4,3.0,3.6,966.6,963.7,2017-07-28
6682,26.0,15.0,3.1,965.6,960.7,2017-07-29
6687,25.0,35.0,4.2,963.0,959.5,2017-07-30
6691,23.8,34.0,5.0,962.4,957.8,2017-07-31
6692,21.5,35.0,4.4,970.0,961.3,2017-08-01
6698,25.6,99.0,3.3,967.3,962.8,2017-08-02
6700,26.2,34.0,3.3,967.4,964.1,2017-08-03
6704,25.2,99.0,3.9,966.8,964.5,2017-08-04
6710,21.8,99.0,6.4,969.4,965.1,2017-08-05
6712,20.0,36.0,7.2,970.0,966.3,2017-08-06
6719,24.5,45.46666666666667,3.9,966.4,958.1,2017-08-07
6721,17.7,35.0,5.6,968.2,963.3,2017-08-08
6726,15.4,34.0,5.8,972.3,966.3,2017-08-09
6730,14.8,99.0,5.0,974.2,971.0,2017-08-10
6733,15.6,35.0,4.7,973.3,971.1,2017-08-11
6739,19.1,35.0,4.2,971.7,968.3,2017-08-12
6742,22.5,35.0,2.8,969.2,963.8,2017-08-13
6744,25.8,11.0,2.8,965.7,960.8,2017-08-14
6748,24.7,34.0,3.3,969.0,964.2,2017-08-15
6753,22.5,99.0,3.9,970.4,967.8,2017-08-16
6756,23.7,35.0,3.1,969.6,965.7,2017-08-17
6760,21.6,34.0,5.8,969.9,966.2,2017-08-18
6766,20.3,33.0,6.7,972.2,968.8,2017-08-19
6768,20.4,35.0,6.9,972.2,969.2,2017-08-20
6772,24.1,14.0,1.9,969.7,963.0,2017-08-21
6779,26.2,35.0,3.3,967.3,962.0,2017-08-22
6783,24.7,34.0,1.4,967.1,963.1,2017-08-23
6784,26.1,99.0,4.4,965.3,960.6,2017-08-24
6789,26.0,19.0,3.1,965.1,960.3,2017-08-25
6792,25.4,27.0,2.5,966.5,961.4,2017-08-26
6797,21.0,13.0,2.5,966.8,963.5,2017-08-27
6802,23.2,22.0,2.2,965.9,961.8,2017-08-28
6807,21.6,14.0,1.9,965.0,960.9,2017-08-29
6811,21.0,32.0,4.2,966.8,960.8,2017-08-30
6813,17.4,99.0,4.7,970.1,966.8,2017-08-31
6816,15.8,33.0,4.4,972.0,969.0,2017-09-01
6821,16.2,36.0,3.1,972.3,967.8,2017-09-02
6827,19.1,3.0,2.2,967.8,961.0,2017-09-03
6831,21.0,35.0,3.9,968.8,961.4,2017-09-04
6832,21.8,1.0,2.8,973.0,968.4,2017-09-05
6837,19.2,35.0,7.5,973.1,971.4,2017-09-06
6840,16.4,1.0,6.9,971.4,967.2,2017-09-07
6845,17.2,34.0,1.7,967.3,958.5,2017-09-08
6850,14.8,31.0,3.9,959.5,956.4,2017-09-09
6852,15.4,31.0,4.7,963.7,959.4,2017-09-10
6858,16.7,36.0,4.4,964.5,960.2,2017-09-11
6862,17.2,35.0,3.1,969.9,964.1,2017-09-12
6867,20.4,35.0,2.5,970.5,965.4,2017-09-13
6869,14.2,36.0,4.2,971.1,966.1,2017-09-14
6874,14.0,99.0,4.2,967.2,962.8,2017-09-15
6879,11.6,35.0,3.9,965.6,962.6,2017-09-16
6883,13.2,35.0,2.5,966.9,964.7,2017-09-17
6886,14.7,35.0,2.5,970.5,964.7,2017-09-18
6889,14.0,35.0,3.6,972.0,970.4,2017-09-19
6892,14.8,99.0,1.1,971.1,964.8,2017-09-20
6898,16.2,33.0,2.8,968.4,963.6,2017-09-21
6903,15.8,99.0,1.1,970.0,966.6,2017-09-22
6907,17.3,99.0,1.1,969.3,965.9,2017-09-23
6911,20.3,99.0,0.8,968.7,965.0,2017-09-24
6915,17.4,32.0,3.6,970.6,966.5,2017-09-25
6917,17.0,99.0,2.2,969.8,967.0,2017-09-26
6921,17.2,21.0,0.8,970.1,966.8,2017-09-27
6924,19.6,19.0,0.8,972.4,968.7,2017-09-28
6928,19.6,34.0,2.5,971.0,967.1,2017-09-29
6934,14.4,99.0,2.2,970.6,968.1,2017-09-30
6936,14.3,32.0,1.7,972.3,969.2,2017-10-01
6942,18.5,36.0,3.6,973.0,970.8,2017-10-02
6946,18.0,99.0,4.7,972.1,969.1,2017-10-03
6951,19.4,14.0,0.8,972.7,969.2,2017-10-04
6954,17.0,99.0,5.0,971.9,970.3,2017-10-05
6957,15.0,35.0,6.4,972.8,970.6,2017-10-06
6962,15.6,34.0,2.5,972.5,968.4,2017-10-07
6964,13.4,35.0,4.4,970.1,967.5,2017-10-08
6969,14.9,36.0,2.5,969.7,965.5,2017-10-09
6973,15.3,4.0,0.8,969.6,966.2,2017-10-10
6977,15.8,27.0,0.6,972.1,968.1,2017-10-11
6981,17.2,15.0,0.8,974.4,971.3,2017-10-12
6985,18.0,2.0,0.3,974.2,970.4,2017-10-13
6991,19.0,22.0,3.1,973.9,970.1,2017-10-14
6995,18.6,99.0,2.5,974.9,970.8,2017-10-15
6999,19.4,20.0,2.8,973.4,970.1,2017-10-16
7000,17.4,15.0,3.6,970.5,962.7,2017-10-17
7005,15.4,16.0,4.7,962.7,956.5,2017-10-18
7009,14.2,34.0,1.4,962.9,957.9,2017-10-19
7015,14.8,99.0,1.1,967.2,962.8,2017-10-20
7016,12.6,34.0,1.4,974.6,967.1,2017-10-21
7020,11.8,32.0,3.1,975.8,973.7,2017-10-22
7027,13.0,35.0,1.7,974.8,972.0,2017-10-23
7030,14.2,4.0,0.0,973.6,969.6,2017-10-24
7034,15.6,25.0,0.3,972.8,969.9,2017-10-25
7038,16.2,14.0,1.4,977.0,972.2,2017-10-26
7042,12.1,35.0,4.4,978.3,976.8,2017-10-27
7046,13.2,99.0,7.2,977.3,973.8,2017-10-28
7048,12.8,99.0,6.9,973.9,969.4,2017-10-29
7054,11.4,1.0,6.4,969.6,966.8,2017-10-30
7057,10.4,99.0,0.6,970.5,967.0,2017-10-31
7060,11.3,16.0,1.4,970.0,966.6,2017-11-01
7064,13.2,16.0,1.4,967.4,963.3,2017-11-02
7071,14.8,22.0,3.9,963.3,959.0,2017-11-03
7075,11.8,99.0,2.8,963.1,957.9,2017-11-04
7079,9.6,99.0,4.2,970.8,963.1,2017-11-05
7083,6.6,36.0,6.9,971.7,969.2,2017-11-06
7087,6.6,99.0,4.2,969.4,965.8,2017-11-07
7091,5.2,99.0,3.1,973.0,968.0,2017-11-08
7093,5.4,2.0,5.3,975.4,971.6,2017-11-09
7099,9.4,35.0,2.8,976.7,974.3,2017-11-10
7103,11.2,99.0,3.6,976.0,972.0,2017-11-11
7104,11.5,36.0,3.9,972.0,965.9,2017-11-12
7108,6.6,35.0,10.0,970.9,965.7,2017-11-13
7112,6.4,99.0,6.7,971.0,968.5,2017-11-14
7116,5.6,33.0,0.6,969.2,964.7,2017-11-15
7122,9.0,99.0,0.6,968.8,966.4,2017-11-16
7126,9.8,99.0,4.2,969.4,967.1,2017-11-17
7130,8.2,34.0,5.0,970.4,968.3,2017-11-18
7133,7.0,32.0,3.9,970.6,968.4,2017-11-19
7138,7.5,18.0,0.6,971.7,968.4,2017-11-20
7143,6.6,18.0,0.8,970.7,966.1,2017-11-21
7144,6.4,99.0,0.0,966.3,959.5,2017-11-22
7151,11.4,99.0,1.1,965.2,959.7,2017-11-23
7155,10.6,22.0,1.1,965.8,963.7,2017-11-24
7156,7.6,99.0,5.0,975.1,963.1,2017-11-25
7160,5.0,35.0,3.1,978.4,963.7,2017-11-26
7167,4.4,14.0,0.6,977.0,969.9,2017-11-27
7169,3.8,17.0,0.6,970.1,958.5,2017-11-28
7175,4.4,33.0,2.5,961.3,956.1,2017-11-29
7179,2.2,99.0,1.4,964.7,961.2,2017-11-30
7180,0.8,99.0,4.2,967.6,959.2,2017-12-01
7184,0.5,35.0,4.7,973.1,967.1,2017-12-02
7188,0.9,99.0,2.5,978.3,973.0,2017-12-03
7192,4.5,34.0,3.9,982.1,978.1,2017-12-04
7197,3.7,19.0,0.8,982.1,980.0,2017-12-05
7201,2.0,13.0,0.6,981.1,977.8,2017-12-06
7205,2.4,99.0,0.3,978.3,974.0,2017-12-07
7208,5.8,34.0,0.6,974.1,971.5,2017-12-08
7212,5.6,35.0,1.4,972.5,964.2,2017-12-09
7218,9.4,17.0,3.1,964.2,934.2,2017-12-10
7223,8.4,18.0,5.6,953.8,932.3,2017-12-11
7226,4.1,99.0,0.8,969.7,953.8,2017-12-12
7231,2.8,20.0,1.9,971.0,966.7,2017-12-13
7232,8.1,99.0,1.7,966.8,958.3,2017-12-14
7236,5.8,99.0,3.3,962.5,956.0,2017-12-15
7242,3.8,31.0,2.5,974.5,961.9,2017-12-16
7247,4.6,99.0,2.8,979.4,974.1,2017-12-17
7248,6.5,36.0,3.3,979.4,971.4,2017-12-18
7254,5.2,99.0,5.6,980.5,973.4,2017-12-19
7257,5.3,99.0,6.4,982.4,979.0,2017-12-20
7261,7.3,35.0,4.4,985.1,981.4,2017-12-21
7265,5.6,99.0,7.8,984.9,982.5,2017-12-22
7269,6.0,34.0,3.3,982.6,980.2,2017-12-23
7273,2.4,99.0,0.6,981.3,974.8,2017-12-24
7279,2.0,32.0,0.6,974.8,965.4,2017-12-25
7283,4.5,17.0,1.4,966.3,947.4,2017-12-26
7285,5.2,32.0,6.1,958.2,946.6,2017-12-27
7289,5.1,99.0,2.2,963.2,955.7,2017-12-28
7294,8.8,17.0,0.3,969.5,961.8,2017-12-29
7296,10.0,16.0,1.7,972.1,968.5,2017-12-30
7303,8.6,33.0,3.6,972.4,963.8,2017-12-31
7305,5.1,31.0,2.8,974.5,968.7,2018-01-01
7308,8.3,4.0,0.8,974.6,972.4,2018-01-02
7312,10.6,20.0,0.0,976.0,972.3,2018-01-03
7316,12.2,24.0,1.4,972.3,962.9,2018-01-04
7323,9.8,99.0,4.7,962.9,952.4,2018-01-05
7327,2.4,32.0,2.2,952.4,947.2,2018-01-06
7328,1.4,99.0,0.6,956.0,946.1,2018-01-07
7334,0.8,23.0,0.6,961.2,955.2,2018-01-08
7338,0.7,20.0,1.4,963.7,960.4,2018-01-09
7340,4.6,99.0,0.6,963.9,959.9,2018-01-10
7347,2.3,17.0,0.8,970.8,963.1,2018-01-11
7348,5.2,99.0,1.1,971.5,968.1,2018-01-12
7352,4.3,18.0,1.7,968.1,961.1,2018-01-13
7359,3.9,32.0,1.1,969.4,962.3,2018-01-14
7363,5.8,18.0,1.7,972.1,969.0,2018-01-15
7366,7.5,99.0,0.3,972.3,969.0,2018-01-16
7370,6.6,35.0,5.6,974.7,968.9,2018-01-17
7375,4.5,12.0,0.0,974.1,968.3,2018-01-18
7376,7.1,34.0,2.2,972.2,967.8,2018-01-19
7380,7.8,31.0,1.1,971.9,968.3,2018-01-20
7387,11.6,35.0,5.6,975.4,970.9,2018-01-21
7391,11.3,32.0,3.1,975.4,973.6,2018-01-22
7393,10.2,32.0,3.9,976.0,974.4,2018-01-23
7398,6.4,99.0,0.8,974.7,969.9,2018-01-24
7403,6.4,99.0,1.9,969.9,963.1,2018-01-25
7405,5.0,34.0,6.1,973.4,964.7,2018-01-26
7411,4.1,35.0,6.1,982.1,973.1,2018-01-27
7412,5.5,20.0,0.3,985.5,982.0,2018-01-28
7418,5.8,35.0,1.7,984.2,977.9,2018-01-29
7422,5.4,99.0,0.3,978.6,973.3,2018-01-30
7424,5.2,29.0,0.8,973.9,963.9,2018-01-31
7429,4.2,32.0,2.8,964.1,956.5,2018-02-01
7432,2.6,34.0,5.3,963.8,957.0,2018-02-02
7438,3.0,31.0,1.4,963.4,958.7,2018-02-03
7441,3.8,99.0,3.1,959.3,956.8,2018-02-04
7447,2.8,1.0,5.0,959.0,955.5,2018-02-05
7450,2.6,34.0,6.7,961.0,958.5,2018-02-06
7452,2.0,99.0,5.0,966.5,960.0,2018-02-07
7456,0.4,34.0,5.6,967.7,965.9,2018-02-08
7460,0.0,34.0,2.2,969.4,964.1,2018-02-09
7464,3.4,36.0,4.2,970.3,967.0,2018-02-10
7471,6.4,34.0,1.7,967.0,963.4,2018-02-11
7473,2.2,4.0,3.9,968.0,966.0,2018-02-12
7478,-0.2,99.0,2.5,967.5,961.1,2018-02-13
7481,4.6,99.0,0.8,966.3,962.2,2018-02-14
7485,8.6,18.0,2.2,971.1,966.2,2018-02-15
7489,12.1,20.0,2.2,971.0,967.0,2018-02-16
7494,8.0,99.0,6.1,973.5,967.7,2018-02-17
7499,6.6,35.0,4.2,973.3,967.7,2018-02-18
7501,8.4,32.0,4.4,967.7,964.4,2018-02-19
7504,8.4,99.0,7.2,965.7,962.3,2018-02-20
7508,4.3,35.0,6.4,962.3,960.0,2018-02-21
7512,3.4,36.0,6.9,960.4,957.0,2018-02-22
7519,0.4,1.0,4.7,957.1,954.0,2018-02-23
7523,2.2,2.0,1.4,957.6,954.3,2018-02-24
7524,4.6,31.0,4.2,960.3,957.5,2018-02-25
7529,3.0,1.0,6.1,959.9,955.0,2018-02-26
7532,-1.2,32.0,5.0,957.2,952.3,2018-02-27
7536,-0.4,12.0,1.1,952.4,939.4,2018-02-28
