,tmed,velmedia,presmed,fecha
1305,4.8,7.5,961.9000000000001,2013-11-23
1308,4.4,9.2,967.8,2013-11-24
1315,4.8,7.8,973.6,2013-11-25
1319,3.6,6.4,975.2,2013-11-26
1320,1.6,5.6,973.9000000000001,2013-11-27
1324,1.8,4.713793103448276,976.25,2013-11-28
1331,4.6,6.4,975.2,2013-11-29
1333,5.7,6.4,969.6,2013-11-30
1336,4.0,6.7,969.1500000000001,2013-12-01
1340,2.4,4.4,970.45,2013-12-02
1346,4.6,0.6,974.0999999999999,2013-12-03
1350,6.2,1.4,975.3,2013-12-04
1355,6.6,6.4,976.7,2013-12-05
1356,6.4,6.1,975.15,2013-12-06
1361,5.8,0.6,971.3499999999999,2013-12-07
1364,4.2,0.8,974.25,2013-12-08
1368,2.9,0.3,977.3,2013-12-09
1375,3.4,0.6,978.5,2013-12-10
1376,3.2,1.4,978.25,2013-12-11
1381,2.8,1.9,976.65,2013-12-12
1384,3.8,0.8,974.3,2013-12-13
1390,7.2,2.2,978.75,2013-12-14
1392,4.9,0.3,979.55,2013-12-15
1398,3.6,2.2,975.9,2013-12-16
1401,7.2,1.7,974.25,2013-12-17
1405,7.9,4.2,969.45,2013-12-18
1409,7.4,1.9,962.1,2013-12-19
1412,4.4,6.4,972.3,2013-12-20
1419,3.1,0.6,978.55,2013-12-21
1421,3.9,0.0,976.45,2013-12-22
1427,4.6,2.8,968.7,2013-12-23
1431,10.4,11.7,953.5999999999999,2013-12-24
1435,7.4,5.0,945.75,2013-12-25
1439,5.4,4.2,955.75,2013-12-26
1443,7.4,2.8,957.05,2013-12-27
1446,7.0,3.3,960.3,2013-12-28
1448,3.2,0.8,972.3,2013-12-29
1453,3.4,1.4,972.35,2013-12-30
1456,4.4,1.1,966.1,2013-12-31
1462,7.4,2.8,960.7,2014-01-01
1467,11.0,2.2,958.25,2014-01-02
1470,13.0,1.1,961.65,2014-01-03
1475,8.2,5.0,956.55,2014-01-04
1477,5.2,2.5,964.0999999999999,2014-01-05
1481,8.0,1.4,963.6500000000001,2014-01-06
1486,13.0,0.8,965.8,2014-01-07
1490,12.3,1.9,967.5,2014-01-08
1493,7.6,0.6,966.75,2014-01-09
1499,5.0,0.0,964.3,2014-01-10
1503,3.6,0.6,966.5,2014-01-11
1506,7.0,1.7,968.85,2014-01-12
1508,7.6,2.2,964.05,2014-01-13
1515,6.7,1.4,961.05,2014-01-14
1518,8.4,1.1,959.65,2014-01-15
1522,7.6,2.2,954.05,2014-01-16
1526,6.8,7.2,949.6,2014-01-17
1529,5.6,5.0,943.6500000000001,2014-01-18
1535,5.3,1.9,948.45,2014-01-19
1536,4.5,5.0,959.35,2014-01-20
1543,5.8,1.9,961.55,2014-01-21
1545,6.5,1.7,962.1500000000001,2014-01-22
1548,6.6,2.8,970.1500000000001,2014-01-23
1555,9.0,3.9,969.5,2014-01-24
1558,11.0,5.3,970.9,2014-01-25
1562,11.8,1.1,967.15,2014-01-26
1567,6.4,2.8,958.2,2014-01-27
1570,4.0,3.1,950.75,2014-01-28
1572,5.8,0.8,946.6,2014-01-29
1578,4.4,2.5,953.15,2014-01-30
1583,6.4,1.1,956.65,2014-01-31
1586,4.6,3.1,958.05,2014-02-01
1590,5.2,0.3,963.6,2014-02-02
1595,3.4,2.8,956.95,2014-02-03
1597,4.8,6.7,954.0,2014-02-04
1602,8.4,6.4,953.05,2014-02-05
1605,10.6,11.1,953.5,2014-02-06
1610,8.8,3.9,957.35,2014-02-07
1614,6.6,5.0,953.55,2014-02-08
1618,5.3,6.7,947.5,2014-02-09
1621,4.7,6.4,950.45,2014-02-10
1625,1.8,1.4,960.8,2014-02-11
1629,4.0,1.9,962.3499999999999,2014-02-12
1632,10.4,4.7,960.25,2014-02-13
1638,12.4,11.9,955.5999999999999,2014-02-14
1643,9.6,2.2,956.9000000000001,2014-02-15
1646,6.6,1.9,962.7,2014-02-16
1651,6.3,6.1,959.85,2014-02-17
1652,6.8,1.4,962.75,2014-02-18
1656,6.6,2.8,967.05,2014-02-19
1661,8.0,0.6,964.85,2014-02-20
1664,5.7,4.2,965.7,2014-02-21
1669,5.6,0.6,968.6,2014-02-22
1673,7.0,3.6,965.0,2014-02-23
1677,10.2,4.4,961.2,2014-02-24
1680,8.8,1.7,962.9,2014-02-25
1685,4.4,1.9,970.0999999999999,2014-02-26
1691,5.3,0.0,971.35,2014-02-27
1695,4.1,8.1,964.2,2014-02-28
1696,4.2,1.1,955.55,2014-03-01
1703,8.8,1.1,951.1500000000001,2014-03-02
1706,6.9,3.1,951.75,2014-03-03
1710,6.3,4.2,957.3,2014-03-04
1713,8.8,6.4,964.65,2014-03-05
1719,9.4,6.7,969.2,2014-03-06
1721,9.7,1.7,971.0,2014-03-07
1724,10.6,1.4,969.7,2014-03-08
1729,12.0,3.9,971.7,2014-03-09
1735,10.2,2.2,969.3,2014-03-10
1739,10.8,3.6,968.75,2014-03-11
1742,10.0,1.7,972.8,2014-03-12
1744,9.2,1.9,973.35,2014-03-13
1751,10.4,1.7,973.1,2014-03-14
1755,10.0,8.1,976.25,2014-03-15
1757,12.2,5.6,973.8499999999999,2014-03-16
1761,13.0,0.3,968.4,2014-03-17
1767,9.5,6.1,971.2,2014-03-18
1771,12.2,3.9,970.4000000000001,2014-03-19
1772,12.6,1.1,965.4,2014-03-20
1779,14.6,2.5,963.5,2014-03-21
1781,8.2,5.3,961.3,2014-03-22
1786,5.1,3.9,965.05,2014-03-23
1789,3.0,0.8,965.2,2014-03-24
1795,4.8,4.4,961.3,2014-03-25
1797,3.6,2.5,959.0,2014-03-26
1801,7.4,2.2,958.4000000000001,2014-03-27
1804,9.5,6.4,956.5,2014-03-28
