,indicativo,fecha,tmed,dir,velmedia,presMax,presMin
24,9434,2012-01-25,6.2,28.0,1.4,993.0,988.1
24,9263D,2012-01-25,5.5,30.0,0.0,970.0,964.5
24,0076,2012-01-25,9.2,34.0,5.0,1022.4,1017.2
24,9898,2012-01-25,5.6,12.0,2.2,957.0,953.4
25,9898,2012-01-26,6.2,6.0,2.2,954.6,952.3
25,9434,2012-01-26,5.8,30.0,2.8,989.6,987.0
25,9263D,2012-01-26,3.8,99.0,1.4,967.7,964.4
25,0076,2012-01-26,9.4,99.0,3.6,1019.7,1016.2
26,9263D,2012-01-27,5.5,4.0,3.6,973.4,967.6
26,0076,2012-01-27,9.8,99.0,4.7,1023.6,1019.3
26,9434,2012-01-27,6.0,30.0,4.7,995.2,989.4
26,9898,2012-01-27,5.6,8.0,1.7,959.6,954.6
27,0076,2012-01-28,7.6,6.0,2.2,1024.6,1019.2
27,9898,2012-01-28,5.3,30.0,6.1,960.6,957.0
27,9263D,2012-01-28,4.8,35.0,3.3,974.1,971.0
27,9434,2012-01-28,6.6,29.0,5.8,996.3,993.0
28,9434,2012-01-29,5.8,30.0,10.0,993.5,991.3
28,0076,2012-01-29,5.7,34.0,3.6,1019.4,1016.4
28,9898,2012-01-29,4.8,34.0,6.7,957.8,954.2
28,9263D,2012-01-29,3.5,32.0,3.9,972.0,970.2
29,9263D,2012-01-30,4.5,31.0,2.8,972.0,969.2
29,9434,2012-01-30,6.2,30.0,6.4,994.1,991.5
29,9898,2012-01-30,4.6,,3.3,958.3,955.7
29,0076,2012-01-30,6.4,35.0,4.2,1022.7,1018.2
30,0076,2012-01-31,7.1,30.0,3.9,1021.9,1013.2
30,9434,2012-01-31,7.2,30.0,5.3,991.8,987.2
30,9263D,2012-01-31,3.8,30.0,1.4,969.2,964.5
30,9898,2012-01-31,5.8,30.0,7.2,956.1,950.1
31,0076,2012-02-01,5.2,7.0,5.3,1016.5,1010.1
31,9434,2012-02-01,7.2,30.0,6.1,987.2,980.4
31,9263D,2012-02-01,4.3,34.0,4.4,964.5,959.1
31,9898,2012-02-01,4.2,29.0,6.4,951.1,943.4
32,0076,2012-02-02,2.2,35.0,4.2,1015.1,1009.9
32,9434,2012-02-02,1.0,31.0,11.7,988.7,982.3
32,9898,2012-02-02,-0.4,27.0,3.1,949.6,944.2
32,9263D,2012-02-02,-2.5,34.0,8.1,969.1,961.5
33,9898,2012-02-03,-0.6,35.0,10.3,959.6,949.0
33,0076,2012-02-03,1.4,34.0,4.4,1021.0,1015.1
33,9263D,2012-02-03,-3.4,99.0,7.8,978.1,969.1
33,9434,2012-02-03,0.0,30.0,11.4,998.2,988.6
34,0076,2012-02-04,2.6,34.0,4.4,1026.2,1020.5
34,9898,2012-02-04,-1.8,30.0,15.6,962.1,959.0
34,9263D,2012-02-04,-2.2,99.0,4.7,979.3,978.0
34,9434,2012-02-04,1.6,32.0,12.5,1001.1,998.0
35,0076,2012-02-05,1.4,35.0,3.6,1026.0,1019.4
35,9898,2012-02-05,3.2,35.0,9.4,962.1,951.9
35,9263D,2012-02-05,3.4,32.0,4.2,978.4,968.6
35,9434,2012-02-05,4.5,99.0,6.4,1001.0,990.0
36,9263D,2012-02-06,2.4,35.0,6.9,975.6,973.8
36,9434,2012-02-06,6.3,29.0,11.9,996.8,994.1
36,9898,2012-02-06,6.0,32.0,11.9,957.7,954.9
36,0076,2012-02-06,5.9,99.0,3.6,1022.7,1016.9
37,9898,2012-02-07,2.6,32.0,8.9,956.6,951.7
37,9263D,2012-02-07,0.2,34.0,6.7,974.9,972.7
37,9434,2012-02-07,4.2,30.0,12.8,995.0,991.4
37,0076,2012-02-07,6.0,35.0,5.0,1018.9,1011.3
38,9263D,2012-02-08,-2.6,99.0,6.7,976.6,972.2
38,9434,2012-02-08,1.5,32.0,11.9,998.1,991.0
38,0076,2012-02-08,3.8,35.0,4.7,1026.1,1016.4
38,9898,2012-02-08,0.0,31.0,4.7,960.0,952.6
39,0076,2012-02-09,4.8,35.0,3.6,1027.0,1020.8
39,9898,2012-02-09,0.7,29.0,3.9,963.4,958.5
39,9434,2012-02-09,2.8,29.0,9.2,999.5,995.5
39,9263D,2012-02-09,-1.0,35.0,6.9,977.9,975.7
40,9434,2012-02-10,4.4,32.0,11.7,995.5,989.7
40,9263D,2012-02-10,0.8,35.0,6.4,975.9,971.1
40,0076,2012-02-10,7.0,22.0,5.6,1020.9,1017.3
40,9898,2012-02-10,5.3,34.0,2.2,958.5,953.0
41,9898,2012-02-11,0.8,28.0,6.4,955.8,951.9
41,9434,2012-02-11,1.8,29.0,10.3,992.7,990.1
41,9263D,2012-02-11,-2.0,99.0,6.1,972.3,970.1
41,0076,2012-02-11,4.6,13.0,4.7,1019.8,1015.7
42,0076,2012-02-12,2.8,35.0,4.4,1022.6,1018.8
42,9263D,2012-02-12,-2.0,34.0,9.4,974.5,971.7
42,9434,2012-02-12,1.8,32.0,11.9,995.1,991.1
42,9898,2012-02-12,0.4,3.0,5.6,957.7,953.3
43,0076,2012-02-13,3.4,23.0,6.1,1023.5,1018.2
43,9434,2012-02-13,3.8,30.0,10.8,995.9,991.8
43,9263D,2012-02-13,1.0,34.0,5.6,975.7,969.6
43,9898,2012-02-13,2.4,99.0,8.1,958.2,953.4
44,9434,2012-02-14,7.2,32.0,9.2,992.9,987.7
44,0076,2012-02-14,6.2,99.0,3.6,1021.3,1015.7
44,9898,2012-02-14,5.1,32.0,4.7,956.1,950.6
44,9263D,2012-02-14,3.6,99.0,7.2,972.8,965.8
45,9898,2012-02-15,6.7,29.0,6.9,957.3,955.8
45,9434,2012-02-15,7.6,28.0,10.6,996.6,992.9
45,9263D,2012-02-15,5.8,35.0,5.3,974.9,972.5
45,0076,2012-02-15,8.0,23.0,5.3,1023.8,1018.8
46,0076,2012-02-16,8.8,,5.0,1021.5,1017.8
46,9898,2012-02-16,8.3,34.0,4.4,957.3,954.6
46,9434,2012-02-16,8.6,29.0,9.7,995.1,991.2
46,9263D,2012-02-16,6.4,99.0,6.7,974.6,971.8
47,9898,2012-02-17,5.8,99.0,4.2,959.8,957.3
47,9434,2012-02-17,7.9,28.0,4.4,995.2,992.7
47,9263D,2012-02-17,5.0,99.0,5.6,972.5,970.3
47,0076,2012-02-17,9.2,35.0,2.8,1025.3,1021.4
48,0076,2012-02-18,8.2,99.0,5.8,1023.6,1018.9
48,9898,2012-02-18,6.8,29.0,4.4,957.5,953.4
48,9263D,2012-02-18,4.6,32.0,1.1,970.5,966.5
48,9434,2012-02-18,5.2,28.0,1.9,993.9,989.0
49,0076,2012-02-19,7.9,34.0,3.3,1023.3,1019.6
49,9898,2012-02-19,8.6,30.0,3.9,958.5,954.1
49,9263D,2012-02-19,7.0,99.0,4.7,975.6,968.7
49,9434,2012-02-19,9.1,29.0,7.5,995.5,991.0
50,9898,2012-02-20,5.5,26.0,4.2,960.9,957.5
50,9263D,2012-02-20,3.7,99.0,5.6,976.8,974.3
50,9434,2012-02-20,7.3,28.0,8.6,997.5,994.2
50,0076,2012-02-20,9.4,99.0,4.7,1026.3,1022.4
51,0076,2012-02-21,6.8,34.0,3.1,1028.7,1026.3
51,9434,2012-02-21,5.1,29.0,3.1,998.5,996.4
51,9898,2012-02-21,4.6,10.0,1.7,965.4,960.9
51,9263D,2012-02-21,4.0,31.0,3.1,976.0,973.4
52,9434,2012-02-22,5.4,28.0,3.9,998.9,995.3
52,9898,2012-02-22,6.6,28.0,3.9,963.9,961.5
52,0076,2012-02-22,8.2,33.0,3.6,1027.1,1024.5
52,9263D,2012-02-22,4.3,31.0,3.9,976.2,973.5
53,0076,2012-02-23,10.4,99.0,5.6,1027.4,1024.8
53,9898,2012-02-23,8.2,24.0,2.8,965.1,962.2
53,9263D,2012-02-23,7.5,32.0,5.0,976.6,974.4
53,9434,2012-02-23,8.4,26.0,3.1,998.8,996.7
54,9434,2012-02-24,10.0,28.0,1.4,998.2,994.6
54,9263D,2012-02-24,10.8,99.0,1.9,975.9,971.9
54,0076,2012-02-24,11.9,99.0,3.3,1027.7,1025.5
54,9898,2012-02-24,11.8,99.0,1.9,962.7,960.7
55,0076,2012-02-25,10.9,35.0,4.7,1026.1,1017.5
55,9263D,2012-02-25,7.2,33.0,3.3,973.4,968.8
55,9898,2012-02-25,13.0,24.0,3.1,960.9,954.8
55,9434,2012-02-25,10.9,29.0,2.8,995.5,989.4
56,9434,2012-02-26,14.2,29.0,10.3,992.6,988.8
56,0076,2012-02-26,14.0,35.0,3.1,1020.6,1015.6
56,9263D,2012-02-26,11.0,35.0,7.2,972.8,969.0
56,9898,2012-02-26,13.0,26.0,5.0,956.8,953.2
57,0076,2012-02-27,11.8,22.0,5.6,1023.9,1020.6
57,9434,2012-02-27,13.0,29.0,5.0,994.1,990.1
57,9898,2012-02-27,9.2,8.0,3.6,958.6,955.8
57,9263D,2012-02-27,10.4,99.0,6.4,972.5,968.9
58,0076,2012-02-28,11.0,99.0,3.3,1024.9,1022.7
58,9263D,2012-02-28,8.5,33.0,0.3,971.4,967.7
58,9434,2012-02-28,10.3,99.0,0.6,994.1,990.8
58,9898,2012-02-28,10.6,8.0,2.8,959.3,957.1
59,9434,2012-02-29,10.6,99.0,0.8,994.2,989.7
59,9898,2012-02-29,12.1,26.0,2.5,958.9,955.9
59,0076,2012-02-29,11.1,23.0,5.3,1023.4,1020.4
59,9263D,2012-02-29,10.9,99.0,0.8,971.0,966.7
60,0076,2012-03-01,11.1,99.0,4.2,1026.0,1020.3
60,9434,2012-03-01,11.6,12.0,0.6,993.5,990.4
60,9898,2012-03-01,13.7,6.0,2.5,959.7,956.3
60,9263D,2012-03-01,10.0,22.0,0.0,971.1,968.0
61,9898,2012-03-02,12.0,10.0,3.3,960.5,958.1
61,9263D,2012-03-02,9.5,18.0,2.8,971.9,968.1
61,0076,2012-03-02,10.4,24.0,6.4,1026.9,1024.4
61,9434,2012-03-02,11.2,16.0,2.5,994.8,991.5
62,9434,2012-03-03,13.5,99.0,6.1,996.4,994.0
62,9898,2012-03-03,12.4,28.0,5.8,961.1,958.5
62,0076,2012-03-03,12.6,35.0,3.1,1025.8,1024.0
62,9263D,2012-03-03,10.8,34.0,1.7,974.4,971.6
63,9434,2012-03-04,11.2,31.0,2.5,997.0,991.3
63,9898,2012-03-04,9.4,31.0,6.9,960.6,957.1
63,0076,2012-03-04,13.4,31.0,3.9,1025.0,1018.0
63,9263D,2012-03-04,8.3,31.0,2.8,976.3,969.0
64,9263D,2012-03-05,6.2,99.0,5.8,977.4,974.4
64,9898,2012-03-05,8.8,31.0,8.1,960.9,957.7
64,9434,2012-03-05,8.7,31.0,10.8,997.9,995.6
64,0076,2012-03-05,13.6,99.0,5.8,1024.4,1020.0
65,9263D,2012-03-06,5.7,34.0,3.6,975.0,971.7
65,0076,2012-03-06,9.4,99.0,5.6,1023.1,1018.8
65,9898,2012-03-06,7.6,28.0,10.0,959.8,954.4
65,9434,2012-03-06,8.1,99.0,8.9,996.4,991.8
66,9898,2012-03-07,6.2,29.0,2.8,962.5,958.4
66,9263D,2012-03-07,5.8,32.0,2.5,975.4,972.3
66,9434,2012-03-07,8.3,28.0,4.2,998.2,994.7
66,0076,2012-03-07,10.6,35.0,4.7,1027.3,1023.1
67,9434,2012-03-08,10.1,99.0,13.6,999.1,995.4
67,9263D,2012-03-08,7.4,35.0,11.7,979.7,974.6
67,0076,2012-03-08,11.1,99.0,4.2,1026.9,1021.2
67,9898,2012-03-08,10.6,30.0,9.7,959.4,955.7
68,0076,2012-03-09,,6.0,5.8,1032.8,1026.3
68,9434,2012-03-09,11.4,29.0,9.2,1002.0,996.8
68,9898,2012-03-09,8.5,9.0,3.6,967.0,959.4
68,9263D,2012-03-09,8.4,99.0,8.1,980.9,977.1
69,9263D,2012-03-10,7.3,35.0,5.6,980.9,977.5
69,9434,2012-03-10,11.3,30.0,7.5,1003.4,996.6
69,9898,2012-03-10,9.3,26.0,3.1,967.0,961.4
69,0076,2012-03-10,10.8,35.0,5.3,1032.8,1026.0
70,9434,2012-03-11,13.0,99.0,8.3,998.2,993.2
70,9898,2012-03-11,10.5,28.0,4.7,961.6,957.1
70,9263D,2012-03-11,9.9,99.0,8.1,978.2,972.8
70,0076,2012-03-11,11.3,99.0,5.0,1026.4,1021.2
71,9898,2012-03-12,10.1,10.0,2.8,960.9,958.1
71,0076,2012-03-12,12.8,35.0,6.1,1024.9,1022.7
71,9263D,2012-03-12,12.2,32.0,3.3,972.8,970.0
71,9434,2012-03-12,12.3,30.0,1.9,995.4,992.9
72,9434,2012-03-13,14.0,29.0,1.1,994.9,991.6
72,9898,2012-03-13,15.7,26.0,2.5,960.3,958.5
72,0076,2012-03-13,13.4,35.0,2.5,1024.9,1022.7
72,9263D,2012-03-13,12.6,35.0,1.1,972.8,969.0
73,9898,2012-03-14,18.0,9.0,1.9,961.4,959.4
73,9434,2012-03-14,15.0,8.0,0.3,996.1,992.7
73,9263D,2012-03-14,14.2,25.0,0.3,973.5,970.0
73,0076,2012-03-14,14.5,34.0,3.6,1027.3,1023.9
74,9263D,2012-03-15,14.2,14.0,0.8,977.6,970.3
74,9898,2012-03-15,16.9,8.0,2.5,963.1,960.1
74,0076,2012-03-15,10.6,14.0,2.2,1028.9,1026.6
74,9434,2012-03-15,15.4,8.0,1.7,997.2,993.0
75,9898,2012-03-16,11.4,11.0,4.7,961.3,956.6
75,0076,2012-03-16,11.6,34.0,4.7,1027.8,1023.7
75,9434,2012-03-16,14.7,27.0,4.4,994.8,988.6
75,9263D,2012-03-16,13.2,19.0,3.6,971.9,965.7
76,9898,2012-03-17,12.7,26.0,1.9,959.0,954.1
76,9434,2012-03-17,14.4,24.0,1.7,993.0,987.7
76,0076,2012-03-17,11.8,21.0,5.6,1023.9,1020.3
76,9263D,2012-03-17,12.4,99.0,1.9,969.3,964.9
77,0076,2012-03-18,15.5,26.0,5.0,1025.1,1018.6
77,9263D,2012-03-18,7.8,30.0,2.8,974.0,966.7
77,9898,2012-03-18,8.5,31.0,6.9,960.4,955.2
77,9434,2012-03-18,11.8,25.0,5.0,996.7,989.7
78,0076,2012-03-19,12.0,34.0,3.1,1030.5,1025.0
78,9898,2012-03-19,9.1,33.0,3.3,964.1,960.4
78,9434,2012-03-19,9.6,30.0,8.1,1000.0,996.2
78,9263D,2012-03-19,7.2,2.0,5.0,979.2,974.0
79,9263D,2012-03-20,5.8,1.0,6.1,979.0,973.6
79,9898,2012-03-20,10.6,25.0,3.1,964.2,959.6
79,9434,2012-03-20,10.3,30.0,6.7,1000.3,994.1
79,0076,2012-03-20,11.0,7.0,10.3,1029.9,1024.8
80,9263D,2012-03-21,6.2,99.0,2.2,973.7,967.4
80,0076,2012-03-21,12.2,7.0,9.4,1024.9,1020.9
80,9434,2012-03-21,8.8,28.0,3.9,995.1,989.7
80,9898,2012-03-21,8.2,11.0,6.1,960.5,955.3
81,0076,2012-03-22,12.2,31.0,3.6,1024.5,1021.2
81,9898,2012-03-22,9.2,26.0,3.6,959.0,955.6
81,9434,2012-03-22,9.0,30.0,2.8,994.5,992.0
81,9263D,2012-03-22,8.4,27.0,0.8,971.1,968.8
82,0076,2012-03-23,11.7,33.0,3.1,1024.6,1022.5
82,9898,2012-03-23,9.9,8.0,2.5,959.3,956.5
82,9434,2012-03-23,10.4,12.0,1.7,993.8,990.2
82,9263D,2012-03-23,8.6,22.0,0.8,970.8,967.0
83,9898,2012-03-24,13.3,12.0,2.8,959.7,957.4
83,0076,2012-03-24,12.6,35.0,2.5,1024.2,1021.9
83,9434,2012-03-24,13.0,12.0,2.5,993.9,990.8
83,9263D,2012-03-24,12.2,99.0,1.7,971.1,967.8
84,9434,2012-03-25,13.7,99.0,0.8,995.7,991.7
84,0076,2012-03-25,13.8,21.0,5.0,1024.9,1022.6
84,9263D,2012-03-25,12.8,26.0,0.6,973.0,969.0
84,9898,2012-03-25,15.8,22.0,2.5,961.1,958.0
85,9898,2012-03-26,15.6,14.0,5.3,961.7,959.5
85,9434,2012-03-26,14.2,11.0,3.6,996.0,991.9
85,9263D,2012-03-26,12.8,12.0,2.2,972.8,969.6
85,0076,2012-03-26,13.5,10.0,4.4,1026.6,1023.4
86,9434,2012-03-27,13.6,11.0,2.8,997.5,994.3
86,9263D,2012-03-27,13.2,99.0,0.8,974.8,971.9
86,0076,2012-03-27,14.4,36.0,3.3,1027.2,1025.1
86,9898,2012-03-27,14.6,16.0,2.2,962.9,960.7
87,9434,2012-03-28,14.0,10.0,1.9,996.7,992.2
87,0076,2012-03-28,15.8,35.0,3.6,1025.7,1022.7
87,9263D,2012-03-28,13.2,25.0,0.3,973.8,969.6
87,9898,2012-03-28,15.8,10.0,3.1,961.9,958.7
88,9434,2012-03-29,15.0,21.0,1.1,993.0,987.0
88,0076,2012-03-29,14.6,36.0,4.4,1022.7,1016.6
88,9898,2012-03-29,17.4,22.0,3.1,958.9,953.8
88,9263D,2012-03-29,13.2,1.0,1.9,970.7,965.3
89,0076,2012-03-30,17.4,99.0,4.7,1016.6,1010.3
89,9263D,2012-03-30,13.4,35.0,4.2,967.3,961.0
89,9898,2012-03-30,17.9,25.0,3.9,954.6,948.6
89,9434,2012-03-30,17.8,29.0,3.6,988.8,981.7
90,0076,2012-03-31,15.0,36.0,3.9,1011.3,1007.6
90,9898,2012-03-31,17.3,26.0,2.8,948.6,943.9
90,9263D,2012-03-31,13.6,99.0,4.2,961.0,956.2
90,9434,2012-03-31,18.3,28.0,3.1,983.1,977.0
91,9263D,2012-04-01,12.6,99.0,4.2,957.8,954.2
91,9434,2012-04-01,17.9,30.0,3.3,979.5,975.6
91,0076,2012-04-01,15.4,99.0,3.3,1008.8,1006.7
91,9898,2012-04-01,16.4,21.0,1.9,945.3,940.7
92,9898,2012-04-02,16.2,17.0,3.6,944.9,941.9
92,9434,2012-04-02,16.4,10.0,3.9,978.5,974.2
92,0076,2012-04-02,,,,,
92,9263D,2012-04-02,14.0,31.0,1.7,956.4,951.5
93,0076,2012-04-03,14.4,,3.1,1007.8,1004.9
93,9898,2012-04-03,12.4,12.0,3.9,943.8,940.7
